cust_id,eff_dt,full_nm,full_nm_upper,dob,cntry_resdnc_cd,cntry_ctznshp_cd,cust_typ_cd,occ_cd,pep_self_decl_flg,src_of_wlth_cd,onbrd_chnl_cd,match_flg,best_wl_id,best_sim,match_method,crr_score,crr_band_cd,pep_flag
CUS-0001194,20241231,Wojciech Zielinski,WOJCIECH ZIELINSKI,19790914,PH,PH,FUND,EDUC,Y,BUSPRT,DIGITAL,N,,0,,110,HIGH,Y
CUS-0001195,20241231,Patricia O'Connor,PATRICIA O'CONNOR,19971222,MM,MM,FUND,RETL,Y,INHRT,DIGITAL,N,,0,,120,HIGH,Y
CUS-0001196,20241231,Henrik Bergström,HENRIK BERGSTROM,19840909,GB,GB,IND,MGMT,N,INHRT,BRANCH,N,,0,,15,LOW,N
CUS-0001197,20241231,Robert Wilson,ROBERT WILSON,19601208,SE,SE,CORP,MGMT,N,INVST,DIGITAL,N,,0,,30,LOW,N
CUS-0001198,20241231,Petros Georgiou,PETROS GEORGIOU,19800802,FR,FR,FUND,EXEC,N,SAL,DIGITAL,N,,0,,40,MED,N
CUS-0001199,20241231,Tom O'Brien,TOM O'BRIEN,19661028,NO,NO,IND,MGMT,N,BUSPRT,DIGITAL,N,,0,,30,LOW,N
CUS-0001200,20241231,Chiara Bianchi,CHIARA BIANCHI,19470222,AT,AT,IND,FINC,N,SAL,INTRO,N,,0,,25,LOW,N
CUS-0001201,20241231,Brigitte Hoffmann,BRIGITTE HOFFMANN,19581005,AT,AT,TRUST,EXEC,Y,SAL,DIGITAL,N,,0,,80,HIGH,Y
CUS-0001202,20241231,Min-Jun Lee,MIN-JUN LEE,19810722,NO,NO,CORP,MGMT,N,INVST,BRANCH,N,,0,,25,LOW,N
CUS-0001203,20241231,Peter Novak,PETER NOVAK,19670104,CH,CH,CORP,ENGG,N,OTHR,BRANCH,N,,0,,40,MED,N
CUS-0001204,20241231,Fatou Diallo,FATOU DIALLO,19940601,FR,FR,IND,EDUC,N,INHRT,INTRO,N,,0,,25,LOW,N
CUS-0001205,20241231,Esther Owusu,ESTHER OWUSU,19720322,CA,CA,CORP,FINC,N,INVST,INTRO,N,,0,,35,LOW,N
CUS-0001206,20241231,Stavros Karagiannidis,STAVROS KARAGIANNIDIS,19500505,AU,AU,IND,EDUC,N,INVST,BRANCH,N,,0,,15,LOW,N
CUS-0001207,20241231,Haruto Yamamoto,HARUTO YAMAMOTO,19450515,DK,DK,IND,GAMB,N,INVST,DIGITAL,N,,0,,45,MED,N
CUS-0001208,20241231,Thomas Carey,THOMAS CAREY,19800917,SE,SE,IND,ENGG,N,SAL,BRANCH,N,,0,,15,LOW,N
CUS-0001209,20241231,Kofi Asante,KOFI ASANTE,19950628,DE,DE,IND,DEAL,N,INHRT,BRANCH,N,,0,,40,MED,N
CUS-0001210,20241231,Samuel Osei,SAMUEL OSEI,19601017,SE,SE,CORP,GAMB,N,SAL,INTRO,N,,0,,60,MED,N
CUS-0001211,20241231,Nils Larsen,NILS LARSEN,19540206,MX,MX,IND,ENGG,N,INVST,DIGITAL,N,,0,,40,MED,N
CUS-0001212,20241231,Léa Moreau,LEA MOREAU,19601221,AU,AU,IND,CASI,N,SAL,DIGITAL,N,,0,,45,MED,N
CUS-0001213,20241231,Dieter Hoffmeister,DIETER HOFFMEISTER,19700627,BE,BE,IND,CASI,N,SAL,BRANCH,N,,0,,40,MED,N
CUS-0001214,20241231,Lukas Becker,LUKAS BECKER,19651023,CH,CH,CORP,DEAL,N,BUSPRT,INTRO,N,,0,,70,MED,N
CUS-0001215,20241231,Ivan Novikov,IVAN NOVIKOV,19850819,CH,CH,IND,GAMB,N,INVST,DIGITAL,N,,0,,45,MED,N
CUS-0001216,20241231,Sophie Müller,SOPHIE MULLER,19810419,CH,CH,CORP,RETL,N,BUSPRT,DIGITAL,N,,0,,40,MED,N
CUS-0001217,20241231,Yuki Tanaka,YUKI TANAKA,19580826,GB,GB,FUND,HLTH,N,SAL,DIGITAL,N,,0,,40,MED,N
CUS-0001218,20241231,Bruno Martins,BRUNO MARTINS,19640409,NO,NO,IND,GAMB,N,OTHR,DIGITAL,N,,0,,60,MED,N
CUS-0001219,20241231,Nora Andersen,NORA ANDERSEN,19751013,NO,NO,CORP,GAMB,N,SAL,DIGITAL,N,,0,,55,MED,N
CUS-0001220,20241231,Alexei Smirnov,ALEXEI SMIRNOV,19960920,NO,NO,CORP,HLTH,N,SAL,DIGITAL,N,,0,,30,LOW,N
