cust_id,eff_dt,full_nm,dob,cntry_resdnc_cd,cntry_ctznshp_cd,cust_typ_cd,occ_cd,pep_self_decl_flg,src_of_wlth_cd,onbrd_chnl_cd,load_dttm
CUS-0001210,20241231,Samuel Osei,19601017,SE,SE,CORP,GAMB,N,SAL,INTRO,31DEC2024:21:24:30
CUS-0001211,20241231,Nils Larsen,19540206,MX,MX,IND,ENGG,N,INVST,DIGITAL,31DEC2024:21:24:37
CUS-0001212,20241231,Léa Moreau,19601221,AU,AU,IND,CASI,N,SAL,DIGITAL,31DEC2024:21:24:44
CUS-0001213,20241231,Dieter Hoffmeister,19700627,BE,BE,IND,CASI,N,SAL,BRANCH,31DEC2024:21:24:51
CUS-0001214,20241231,Lukas Becker,19651023,CH,CH,CORP,DEAL,N,BUSPRT,INTRO,31DEC2024:21:24:58
CUS-0001215,20241231,Ivan Novikov,19850819,CH,CH,IND,GAMB,N,INVST,DIGITAL,31DEC2024:21:25:05
CUS-0001216,20241231,Sophie Müller,19810419,CH,CH,CORP,RETL,N,BUSPRT,DIGITAL,31DEC2024:21:25:12
CUS-0001217,20241231,Yuki Tanaka,19580826,GB,GB,FUND,HLTH,N,SAL,DIGITAL,31DEC2024:21:25:19
CUS-0001218,20241231,Bruno Martins,19640409,NO,NO,IND,GAMB,N,OTHR,DIGITAL,31DEC2024:21:25:26
CUS-0001219,20241231,Nora Andersen,19751013,NO,NO,CORP,GAMB,N,SAL,DIGITAL,31DEC2024:21:25:33
CUS-0001220,20241231,Alexei Smirnov,19960920,NO,NO,CORP,HLTH,N,SAL,DIGITAL,31DEC2024:21:25:40
